Name,M_Vt,Mass,e_Mass,Age_FB10,error_FB10,[Fe/H]_FB10,Age_D11,error_D11,[Fe/H]_D11,Age_V13,error_V13,[Fe/H]_V13,Rgc,Rper,e_Rper,Rapo,e_Rapo,Lz,e_Lz,prog
NGC 6362,-6.95,116000.0,3250.0,13.57,0.64,-0.99,12.5,0.5,-1.1,12.5,0.25,-1.07,5.1,2.52,0.09,5.14,0.06,560.814,21.285,M-D
NGC 6366,-5.74,42900.0,4590.0,13.31,1.66,-0.73,12.0,0.75,-0.7,11.0,0.5,-0.59,5.0,2.04,0.11,5.43,0.17,nan,nan,M-D
NGC 6388,-9.41,1130000.0,9760.0,12.03,1.02,-0.77,nan,nan,nan,nan,nan,nan,3.1,1.11,0.02,3.79,0.09,-326.517,10.512,M-B
NGC 6397,-6.64,89800.0,1140.0,12.67,0.51,-1.76,13.5,0.5,-2.1,13.0,0.25,-1.99,6.0,2.63,0.03,6.23,0.02,694.665,4.452,M-D
NGC 6426,-6.67,64400.0,26200.0,12.9,1.0,-2.11,13.0,1.5,-2.2,nan,nan,nan,14.4,26.84,5.46,215.31,166.31,9558.463,1108.472,H-E
NGC 6441,-9.63,1250000.0,11200.0,11.26,0.9,-0.6,nan,nan,nan,nan,nan,nan,3.9,1.0,0.08,3.91,0.13,289.228,12.168,Kraken/Main
NGC 6496,-7.2,65000.0,9340.0,12.42,0.9,-0.7,12.0,0.75,-0.5,10.75,0.38,-0.46,4.2,4.02,0.94,11.54,7.69,1166.015,244.635,M-D
NGC 6535,-4.75,13100.0,2040.0,10.5,1.15,-1.51,13.25,1.0,-1.9,12.75,0.5,-1.79,3.9,1.01,0.23,4.47,0.23,nan,nan,Kraken/Seq
NGC 6541,-8.52,254000.0,7780.0,12.93,0.51,-1.53,13.25,1.0,-1.9,12.5,0.5,-1.82,2.1,1.76,0.21,3.64,0.18,337.1,16.255,Kraken
NGC 6544,-6.94,115000.0,10600.0,10.37,0.9,-1.2,nan,nan,nan,nan,nan,nan,5.1,0.62,0.2,5.48,0.33,186.203,9.589,Kraken
NGC 6584,-7.69,81600.0,27000.0,11.26,0.38,-1.3,12.25,0.75,-1.4,11.75,0.5,-1.5,7.0,2.1,1.08,19.25,7.32,515.407,247.912,H-E
NGC 6624,-7.49,96200.0,2460.0,12.54,0.9,-0.7,13.0,0.75,-0.5,11.25,0.5,-0.42,1.2,0.46,0.14,1.56,0.11,66.22,17.009,M-B
