MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
5,36649,136164005.341,30876954466.9,0.503107,101.731,0.0,0.857411,0.0,10.4076001624,0.0,-1.09777,0.0,-3099.53931107,0.0,-43744.7531646,0.0,-0.541914654811,0.0,1
5,34823,9420585.68405,4287154005.75,1.004122,79.87095,20.09325,0.7246535,0.0626425,12.4493652835,0.155366114987,-1.818565,0.229335,-1107.40643693,529.709054729,-42957.3289616,9880.06399548,-0.532159960036,0.122395283601,2
5,34162,66507906.7331,15142038893.3,1.259331,59.3192,0.0,0.905183,0.0,11.8003229814,0.0,-2.14455,0.0,-112.074045355,0.0,-54736.6950141,0.0,-0.678083999525,0.0,1
5,34370,11587549.4515,6945661445.17,1.259331,47.24245,2.16935,0.844853,0.062072,12.7346144885,0.00820118748265,-1.91723,0.34035,-768.824971274,285.610547738,-60358.4306123,242.056080477,-0.747726658032,0.00299861646958,2
5,31914,132888421.401,24538346583.7,2.478413,16.4501,3.07105,0.786908,0.0713365,12.7264133011,0.626874222903,-1.72174,0.560235,-240.078263953,261.403858695,-81061.8253254,5387.06599285,-1.00420251371,0.0667355464775,7
5,31458,11015754.7356,10449790103.2,3.016505,20.1764,6.003885,0.587399,0.227147,13.291708377,0.349019675373,-2.01737,0.126,383.250458291,828.996279934,-68383.6998634,11849.7851921,-0.847144547067,0.14679639928,3
5,30486,70336876.5825,16979728280.5,3.983664,6.88405,13.9416,0.498516,0.11790875,12.9884020819,0.336451878937,-1.531975,0.43337,89.2349062542,505.466149199,-102699.16513,37205.352343,-1.27224818052,0.460903861916,8
5,30592,45480540.824,13738970005.8,3.983664,18.40285,4.61915,0.7815735,0.10885125,12.5446512559,0.145057447325,-1.971505,0.236905,16.2032346814,508.174910458,-81329.2515169,12131.3233607,-1.00751541782,0.150284124056,4
5,29918,20965040.681,5027662340.97,5.487415,3.63073,0.0,0.795403,0.0,13.4395359366,0.0,-1.7617,0.0,43.1387633446,0.0,-122004.194335,0.0,-1.51140093556,0.0,1
6,6873,54749519.4717,18516245784.7,0.18271,62.6916,9.70735,0.47246,0.0789065,11.1892802096,0.288895260127,-1.48838,0.25062,-2553.75037356,756.245810041,-38900.6792303,5765.16008469,-0.54938229794,0.0814195782177,3
6,6552,7155285.15393,8298664014.21,0.270901,118.417,0.0,0.944906,0.0,13.0423626945,0.0,-2.24397,0.0,-486.595256229,0.0,-28223.7573388,0.0,-0.398595422241,0.0,1
6,5935,13003868.8728,8840811222.69,0.365669,81.6047,0.0,0.863327,0.0,11.2331444297,0.0,-1.52508,0.0,-1954.04805329,0.0,-37912.993814,0.0,-0.535433521352,0.0,1
6,4241,67905378.4503,22247077899.1,0.865051,36.95685,6.7514,0.635787,0.19603675,11.0493679839,0.315626664876,-1.87355,0.2226275,2000.83681409,1658.59347744,-50146.2266394,3880.56263112,-0.708199696489,0.0548039894872,4
