NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name
    196.,    60.,    7.680,     0.116,    12.080,    10.484,   -2,   15.50,  -20.05,  NGC4350        
    114.,    12.,    7.380,     0.043,    11.611,     9.853,   -2,   18.64,  -18.86,  NGC4352        
   3246.,   598.,    9.030,     0.073,    13.603,    11.361,   -5,   23.33,  -22.35,  NGC4365        
      9.,     4.,    6.190,     0.167,    11.027,     8.915,    0,   15.79,  -16.97,  IC3292         
    200.,    41.,    7.710,     0.081,    12.202,    10.609,   -2,   16.98,  -20.46,  NGC4371        
   4301.,  1201.,    9.150,     0.107,    13.516,    11.324,   -5,   18.51,  -22.36,  NGC4374        
     74.,    32.,    7.220,     0.156,    11.840,    10.185,   -2,   17.67,  -19.48,  NGC4377        
     50.,    14.,    7.040,     0.107,    11.792,    10.119,   -2,   15.88,  -19.36,  NGC4379        
   1110.,   181.,    8.560,     0.066,    13.388,    11.269,   -2,   17.88,  -22.25,  NGC4382        
     70.,    10.,    7.180,     0.057,    11.764,    10.079,   -5,   18.00,  -19.27,  NGC4387        
     43.,     8.,    6.890,     0.073,    11.192,     9.187,   -5,   16.85,  -17.57,  IC3328         
   2800.,   200.,    8.970,     0.030,    13.470,    11.304,   -5,   17.09,  -22.36,  NGC4406        
     61.,    10.,    7.020,     0.062,    11.101,     9.038,   -5,   18.70,  -16.96,  VCC-940        
     72.,    10.,    7.240,     0.056,    11.980,    10.368,   -2,   16.03,  -20.00,  NGC4417        
     15.,     5.,    6.390,     0.128,    10.826,     8.581,   -5,   16.90,  -16.37,  VCC-965        
     11.,     5.,    6.330,     0.163,    11.405,     9.532,   -2,   15.80,  -18.20,  NGC4431        
    141.,    34.,    7.510,     0.094,    11.885,    10.246,   -5,   22.48,  -19.68,  NGC4434        
    345.,    80.,    7.940,     0.091,    12.372,    10.750,   -2,   16.65,  -20.40,  NGC4435        
      8.,     4.,    6.140,     0.186,    11.091,     9.020,    0,   16.02,  -16.69,  VCC-1049       
    178.,    30.,    7.660,     0.068,    12.288,    10.685,   -2,   15.31,  -20.56,  NGC4442        
     20.,     7.,    6.550,     0.129,    11.300,     9.363,   -5,   16.00,  -17.54,  VCC-1073       
     12.,     5.,    6.380,     0.151,    11.364,     9.465,   10,    4.13,  -18.56,  NGC4449        
     16.,     5.,    6.440,     0.119,    10.792,     8.526,   -5,   16.18,  -16.78,  IC3383         
     66.,    10.,    7.090,     0.058,    11.247,     9.276,   -5,   16.67,  -17.79,  IC3381         
     52.,     8.,    7.050,     0.065,    11.698,     9.983,   -2,   15.85,  -19.12,  NGC4452        
     72.,    12.,    7.190,     0.067,    11.680,     9.956,   -5,   16.32,  -19.07,  NGC4458        
    218.,    28.,    7.760,     0.052,    12.410,    10.778,   -2,   16.01,  -20.81,  NGC4459        
     25.,     9.,    6.710,     0.135,    11.576,     9.800,    3,   15.80,  -18.56,  NGC4464        
     14.,     6.,    6.370,     0.148,    10.711,     8.391,   -5,   16.90,  -16.77,  VCC-1185       
     -6.,    13.,    7.190,       NaN,    11.367,     9.470,   -5,   16.43,  -17.32,  NGC4467        
     -9.,    14.,    6.370,       NaN,    10.914,     8.728,   -5,   16.26,  -15.47,  VCC-1199       
   7000.,   800.,    9.390,     0.047,    14.044,    11.554,   -5,   17.03,  -22.82,  NGC4472        
    376.,    97.,    8.000,     0.100,    12.378,    10.755,   -5,   15.25,  -20.81,  NGC4473        
    116.,    24.,    7.420,     0.082,    11.822,    10.161,   -2,   15.46,  -19.59,  NGC4474        
     20.,     7.,    6.640,     0.135,    11.659,     9.925,   -2,   17.68,  -19.14,  NGC4476        
     26.,    11.,    6.630,     0.153,    11.063,     8.974,   -5,   16.00,  -16.67,  VCC-1254       
     58.,    11.,    7.130,     0.075,    11.964,    10.348,   -5,   17.05,  -19.79,  NGC4478        
     59.,     9.,    7.090,     0.064,    11.599,     9.835,   -2,   17.40,  -18.86,  NGC4479        
      4.,    11.,    5.870,     0.574,    11.466,     9.629,   -5,   16.26,  -17.77,  NGC4486B       
     72.,    18.,    7.180,     0.097,    11.683,     9.961,    0,   16.75,  -18.96,  NGC4483        
      8.,     5.,    6.130,     0.210,    10.797,     8.534,   -5,   16.00,  -16.59,  VCC-1308       
  13000.,   800.,    9.650,     0.026,    13.750,    11.424,   -5,   17.00,  -22.61,  NGC4486        
     31.,     9.,    6.820,     0.111,    11.633,     9.887,   -5,   15.38,  -19.03,  NGC4489        
     11.,     6.,    6.290,     0.181,    10.467,     7.982,   -5,   16.94,  -17.51,  IC3442         
    392.,    49.,    8.050,     0.051,    12.600,    10.896,   -5,   17.06,  -21.40,  NGC4494        
     50.,     9.,    6.910,     0.069,    10.910,     8.722,   -5,   16.76,  -16.72,  IC3461         
     25.,     6.,    6.670,     0.094,    11.309,     9.377,   -5,   15.40,  -17.97,  IC3468         
     61.,     9.,    7.030,     0.062,    11.198,     9.197,   -5,   16.11,  -17.39,  IC3470         
     27.,     7.,    6.650,     0.099,    11.078,     8.999,   -5,   16.07,  -16.86,  IC798          
    270.,    60.,    7.790,     0.087,    11.741,    10.046,    5,    9.26,  -19.52,  NGC4517        
     81.,    10.,    7.220,     0.051,    11.533,     9.733,   -2,   16.68,  -18.79,  NGC4515        
      7.,     4.,    6.080,     0.197,    10.919,     8.737,   -3,   16.24,  -16.78,  IC3487         
     19.,     7.,    6.490,     0.129,    10.725,     8.413,   -5,   16.00,  -16.53,  IC3492         
     41.,     8.,    6.850,     0.074,    11.182,     9.171,   -3,   16.31,  -17.16,  IC3501         
    388.,   117.,    8.060,     0.114,    13.008,    11.101,   -2,   16.90,  -21.51,  NGC4526        
     31.,     7.,    6.830,     0.090,    11.734,    10.035,   -2,   15.79,  -19.08,  NGC4528        
     54.,     9.,    6.960,     0.065,    10.985,     8.846,   -5,   16.82,  -16.91,  IC3509         
     26.,    10.,    6.650,     0.141,    11.131,     9.087,   -2,   15.35,  -17.10,  IC3540         
     84.,    19.,    7.270,     0.089,    11.793,    10.120,   -2,   15.44,  -19.39,  NGC4550        
      4.,     4.,    5.760,     0.307,    11.074,     8.993,   -5,   15.63,  -16.46,  VCC-1627       
     47.,    11.,    7.010,     0.091,    11.777,    10.098,   -5,   16.18,  -19.15,  NGC4551        
   1100.,   200.,    8.440,     0.073,    12.691,    10.945,   -5,   15.89,  -20.39,  NGC4552        
    204.,    60.,    7.790,     0.112,    13.449,    11.295,    3,   17.46,  -21.68,  NGC4565        
    213.,    31.,    7.710,     0.059,    12.055,    10.456,   -5,   15.87,  -20.00,  NGC4564        
    139.,    23.,    7.540,     0.067,    12.217,    10.623,   -2,   17.12,  -20.34,  NGC4570        
     14.,     6.,    6.410,     0.145,    10.965,     8.813,    0,   16.54,  -17.49,  IC3586         
   1052.,   162.,    8.460,     0.062,    12.459,    10.810,   -5,   21.98,  -21.07,  NGC4589        
     62.,    13.,    7.150,     0.083,    11.917,    10.288,   -2,   16.35,  -19.62,  NGC4578        
     10.,     6.,    6.190,     0.218,    10.836,     8.599,   -5,   17.65,  -16.33,  IC3602         
      2.,     4.,    5.550,     0.441,    10.549,     8.120,    0,   14.73,  -16.90,  IC3612         
      8.,     7.,    6.640,     0.273,    11.414,     9.545,    7,    5.47,  -18.41,  NGC4605        
   1900.,   200.,    8.780,     0.043,    13.360,    11.257,    1,    9.77,  -22.12,  NGC4594        
      4.,     4.,    5.840,     0.271,    10.630,     8.255,   -5,   16.24,  -16.03,  IC3633         
     20.,     6.,    6.530,     0.109,    10.836,     8.598,    5,   16.86,  -16.78,  IC3635         
     18.,     6.,    6.490,     0.115,    11.163,     9.138,   -5,   16.24,  -17.13,  VCC-1833       
   2700.,   780.,    8.870,     0.110,    12.457,    10.809,   -2,   71.70,  -21.00,  IC3651         
     38.,     7.,    6.830,     0.078,    11.229,     9.248,   -5,   16.10,  -17.60,  IC3652         
     10.,     5.,    6.260,     0.170,    11.330,     9.412,   -5,   15.49,  -17.31,  IC3653         
      6.,     4.,    6.010,     0.226,    10.901,     8.707,   -5,   15.86,  -16.60,  VCC-1895       
    803.,   355.,    8.360,     0.159,    12.670,    10.935,   -5,   14.85,  -21.34,  NGC4621        
     49.,     8.,    6.940,     0.069,    11.347,     9.438,   -5,   16.05,  -17.39,  IC809          
